Type,Trans Date,Post Date,Description,Amount
Sale,11/19/2017,11/20/2017,LYFT   *RIDE SAT 2PM,-25.74
Sale,11/18/2017,11/19/2017,7 SPICE FINE INDIAN CUIS,-38.00
Sale,11/18/2017,11/20/2017,SAFEWAY #1920,-24.36
Sale,11/17/2017,11/17/2017,APL*APPLE ONLINE STORE,-477.06
Sale,11/16/2017,11/17/2017,NEW JERSEY E-ZPASS,-75.00
Sale,11/16/2017,11/17/2017,DOLLAR TREE,-1.06
Sale,11/16/2017,11/17/2017,MICHAELS STORES 8804,-30.58
Sale,11/14/2017,11/15/2017,DOLLAR TREE,-4.24
Sale,11/13/2017,11/14/2017,AT&amp;T*BILL PAYMENT,-106.75
Sale,11/12/2017,11/13/2017,Nike Leesburg 071,-42.97
Sale,11/12/2017,11/13/2017,THE FRAGRANCE OUTLET,-31.77
Sale,11/12/2017,11/13/2017,BR FACTORY US 6251,-7.95
Sale,11/10/2017,11/12/2017,BAPS SHAYONA WASHINGTON D,-22.73
Payment,11/08/2017,11/08/2017,Payment Thank You Bill Pa,856.41
Sale,11/08/2017,11/09/2017,UNIQLO TYSONS CORNER 76,-10.49
Return,11/06/2017,11/07/2017,ALAMO RENT-A-CAR,14.00
Sale,11/06/2017,11/08/2017,SUPERCUTS 81355,-16.00
Sale,11/03/2017,11/05/2017,CONTAINERSTOREVIENNAVA,-1.90
Sale,11/03/2017,11/05/2017,ALAMO RENT-A-CAR,-20.00
Sale,10/31/2017,11/01/2017,TOPGOLF LOUDOUN 016-1,-26.50
Sale,10/28/2017,10/29/2017,PAYPAL *NETFLIX.COM,-10.09
Sale,10/26/2017,10/29/2017,MON AMI RESTON,-8.43
Sale,10/25/2017,10/26/2017,USPS PO 5193190231,-1.40
Sale,10/24/2017,10/25/2017,USPS PO 5193190231,-5.90
Sale,10/24/2017,10/26/2017,NEW JERSEY E-ZPASS,-75.00
